Date	CLOSE
12.03.2020	966
13.03.2020	991
14.03.2020	#Н/Д
15.03.2020	#Н/Д
16.03.2020	966
17.03.2020	934
18.03.2020	832
19.03.2020	902
20.03.2020	924
21.03.2020	#Н/Д
22.03.2020	#Н/Д
23.03.2020	883
24.03.2020	965
25.03.2020	981
26.03.2020	1017
27.03.2020	955
28.03.2020	#Н/Д
29.03.2020	#Н/Д
30.03.2020	958
31.03.2020	1014
01.04.2020	987
02.04.2020	1034
03.04.2020	1049
04.04.2020	#Н/Д
05.04.2020	#Н/Д
06.04.2020	1083
07.04.2020	1099
08.04.2020	1114
09.04.2020	1155
10.04.2020	1142
11.04.2020	#Н/Д
12.04.2020	#Н/Д
13.04.2020	1124
14.04.2020	1133
15.04.2020	1046
16.04.2020	1066
17.04.2020	1078
18.04.2020	#Н/Д
19.04.2020	#Н/Д
20.04.2020	1068
21.04.2020	1012
22.04.2020	1066
23.04.2020	1099
24.04.2020	1081
25.04.2020	#Н/Д
26.04.2020	#Н/Д
27.04.2020	1083
28.04.2020	1109
29.04.2020	1144
30.04.2020	1125
01.05.2020	#Н/Д
02.05.2020	#Н/Д
03.05.2020	#Н/Д
04.05.2020	1099
05.05.2020	1133
06.05.2020	1111
07.05.2020	1126
08.05.2020	1136
09.05.2020	#Н/Д
10.05.2020	#Н/Д
11.05.2020	#Н/Д
12.05.2020	1137
13.05.2020	1110
14.05.2020	1102
15.05.2020	1107
16.05.2020	#Н/Д
17.05.2020	#Н/Д
18.05.2020	1167
19.05.2020	1177
20.05.2020	1225
21.05.2020	1206
22.05.2020	1188
23.05.2020	#Н/Д
24.05.2020	#Н/Д
25.05.2020	1213
26.05.2020	1224
27.05.2020	1212
28.05.2020	1241
29.05.2020	1219
30.05.2020	#Н/Д
31.05.2020	#Н/Д
01.06.2020	1247
02.06.2020	1277
03.06.2020	1301
04.06.2020	1257
05.06.2020	1285
06.06.2020	#Н/Д
07.06.2020	#Н/Д
08.06.2020	1288
09.06.2020	1284
10.06.2020	1277
11.06.2020	1238
12.06.2020	#Н/Д
13.06.2020	#Н/Д
14.06.2020	#Н/Д
15.06.2020	1221
16.06.2020	1242
17.06.2020	1237
18.06.2020	1230
19.06.2020	1249
20.06.2020	#Н/Д
21.06.2020	#Н/Д
22.06.2020	1256
23.06.2020	1281
24.06.2020	#Н/Д
25.06.2020	1257
26.06.2020	1246
27.06.2020	#Н/Д
28.06.2020	#Н/Д
29.06.2020	1239
30.06.2020	1212
01.07.2020	#Н/Д
02.07.2020	1248
03.07.2020	1235
04.07.2020	#Н/Д
05.07.2020	#Н/Д
06.07.2020	1247
07.07.2020	1247
08.07.2020	1245
09.07.2020	1234
10.07.2020	1245
11.07.2020	#Н/Д
12.07.2020	#Н/Д
13.07.2020	1234
14.07.2020	1216
15.07.2020	1219
16.07.2020	1219
17.07.2020	1216
18.07.2020	#Н/Д
19.07.2020	#Н/Д
20.07.2020	1235
21.07.2020	1259
22.07.2020	1255
23.07.2020	1261
24.07.2020	1255
25.07.2020	#Н/Д
26.07.2020	#Н/Д
27.07.2020	1266
28.07.2020	1257
29.07.2020	1266
30.07.2020	1232
31.07.2020	1234
01.08.2020	#Н/Д
02.08.2020	#Н/Д
03.08.2020	1257
04.08.2020	1260
05.08.2020	1295
06.08.2020	1282
07.08.2020	1271
08.08.2020	#Н/Д
09.08.2020	#Н/Д
10.08.2020	1267
11.08.2020	1296
12.08.2020	1307
13.08.2020	1326
14.08.2020	1323
15.08.2020	#Н/Д
16.08.2020	#Н/Д
17.08.2020	1308
18.08.2020	1311
19.08.2020	1316
20.08.2020	1272
21.08.2020	1262
22.08.2020	#Н/Д
23.08.2020	#Н/Д
24.08.2020	1281
25.08.2020	1267
26.08.2020	1273
27.08.2020	1264
28.08.2020	1265
29.08.2020	#Н/Д
30.08.2020	#Н/Д
31.08.2020	1258
01.09.2020	1274
02.09.2020	1234
03.09.2020	1223
04.09.2020	1220
05.09.2020	#Н/Д
06.09.2020	#Н/Д
07.09.2020	1218
08.09.2020	1189
09.09.2020	1201
10.09.2020	1216
11.09.2020	1223
12.09.2020	#Н/Д
13.09.2020	#Н/Д
14.09.2020	1228
15.09.2020	1253
16.09.2020	1251
17.09.2020	1243
18.09.2020	1228
19.09.2020	#Н/Д
20.09.2020	#Н/Д
21.09.2020	1181
22.09.2020	1193
23.09.2020	1195
24.09.2020	1188
25.09.2020	1164
26.09.2020	#Н/Д
27.09.2020	#Н/Д
28.09.2020	1166
29.09.2020	1155
30.09.2020	1178
01.10.2020	1174
02.10.2020	1148
03.10.2020	#Н/Д
04.10.2020	#Н/Д
05.10.2020	1157
06.10.2020	1168
07.10.2020	1143
08.10.2020	1158
09.10.2020	1164
10.10.2020	#Н/Д
11.10.2020	#Н/Д
12.10.2020	1162
13.10.2020	1156
14.10.2020	1160
15.10.2020	1132
16.10.2020	1132
17.10.2020	#Н/Д
18.10.2020	#Н/Д
19.10.2020	1135
20.10.2020	1140
21.10.2020	1143
22.10.2020	1155
23.10.2020	1164
24.10.2020	#Н/Д
25.10.2020	#Н/Д
26.10.2020	1152
27.10.2020	1131
28.10.2020	1078
29.10.2020	1078
30.10.2020	1066
31.10.2020	#Н/Д
01.11.2020	#Н/Д
02.11.2020	1069
03.11.2020	1108
04.11.2020	#Н/Д
05.11.2020	1170
06.11.2020	1178
07.11.2020	#Н/Д
