date	total_cases
2020-03-12	25
2020-03-13	30
2020-03-14	45
2020-03-15	59
2020-03-16	63
2020-03-17	93
2020-03-18	114
2020-03-19	147
2020-03-20	199
2020-03-21	253
2020-03-22	306
2020-03-23	367
2020-03-24	438
2020-03-25	495
2020-03-26	658
2020-03-27	840
2020-03-28	1036
2020-03-29	1264
2020-03-30	1534
2020-03-31	1836
2020-04-01	2337
2020-04-02	2777
2020-04-03	3548
2020-04-04	4149
2020-04-05	4731
2020-04-06	5389
2020-04-07	6343
2020-04-08	7497
2020-04-09	8672
2020-04-10	10131
2020-04-11	11917
2020-04-12	13584
2020-04-13	15770
2020-04-14	18328
2020-04-15	21102
2020-04-16	24490
2020-04-17	27938
2020-04-18	32008
2020-04-19	36793
2020-04-20	42853
2020-04-21	47121
2020-04-22	52763
2020-04-23	57999
2020-04-24	62773
2020-04-25	68622
2020-04-26	74588
2020-04-27	80949
2020-04-28	87147
2020-04-29	93558
2020-04-30	99399
2020-05-01	106498
2020-05-02	114431
2020-05-03	124054
2020-05-04	134687
2020-05-05	145268
2020-05-06	155370
2020-05-07	165929
2020-05-08	177160
2020-05-09	187859
2020-05-10	198676
2020-05-11	209688
2020-05-12	221344
2020-05-13	232243
2020-05-14	242271
2020-05-15	252245
2020-05-16	262843
2020-05-17	272043
2020-05-18	281752
2020-05-19	290678
2020-05-20	299941
2020-05-21	308705
2020-05-22	317554
2020-05-23	326448
2020-05-24	335882
2020-05-25	344481
2020-05-26	353427
2020-05-27	362342
2020-05-28	370680
2020-05-29	379051
2020-05-30	387623
2020-05-31	396575
2020-06-01	405843
2020-06-02	414878
2020-06-03	423741
2020-06-04	432277
2020-06-05	441108
2020-06-06	449834
2020-06-07	458689
2020-06-08	467673
2020-06-09	476658
2020-06-10	485253
2020-06-11	493657
2020-06-12	502436
2020-06-13	511423
2020-06-14	520129
2020-06-15	528964
2020-06-16	537210
2020-06-17	545458
2020-06-18	553301
2020-06-19	561091
2020-06-20	569063
2020-06-21	576952
2020-06-22	584680
2020-06-23	592280
2020-06-24	599705
2020-06-25	606881
2020-06-26	613994
2020-06-27	620794
2020-06-28	627646
2020-06-29	634437
2020-06-30	641156
2020-07-01	647849
2020-07-02	654405
2020-07-03	661165
2020-07-04	667883
2020-07-05	674515
2020-07-06	681251
2020-07-07	687862
2020-07-08	694230
2020-07-09	700792
2020-07-10	707301
2020-07-11	713936
2020-07-12	720547
2020-07-13	727162
2020-07-14	733699
2020-07-15	739947
2020-07-16	746369
2020-07-17	752797
2020-07-18	759203
2020-07-19	765437
2020-07-20	771546
2020-07-21	777486
2020-07-22	783328
2020-07-23	789190
2020-07-24	795038
2020-07-25	800849
2020-07-26	806720
2020-07-27	812485
2020-07-28	818120
2020-07-29	823515
2020-07-30	828990
2020-07-31	834499
2020-08-01	839981
2020-08-02	845443
2020-08-03	850870
2020-08-04	856264
2020-08-05	861423
2020-08-06	867343
2020-08-07	871894
2020-08-08	877135
2020-08-09	882347
2020-08-10	887536
2020-08-11	892654
2020-08-12	897599
2020-08-13	902701
2020-08-14	907758
2020-08-15	912823
2020-08-16	917884
2020-08-17	922853
2020-08-18	927745
2020-08-19	932493
2020-08-20	937321
2020-08-21	942106
2020-08-22	946976
2020-08-23	951897
2020-08-24	956749
2020-08-25	961493
2020-08-26	966189
2020-08-27	970865
2020-08-28	975576
2020-08-29	980405
2020-08-30	985346
2020-08-31	990326
2020-09-01	995319
2020-09-02	1000048
2020-09-03	1005000
2020-09-04	1009995
2020-09-05	1015105
2020-09-06	1020310
2020-09-07	1025505
2020-09-08	1030690
2020-09-09	1035789
2020-09-10	1041007
2020-09-11	1046370
2020-09-12	1051874
2020-09-13	1057362
2020-09-14	1062811
2020-09-15	1068320
2020-09-16	1073849
2020-09-17	1079519
2020-09-18	1085281
2020-09-19	1091186
2020-09-20	1097251
2020-09-21	1103399
2020-09-22	1109595
2020-09-23	1115810
2020-09-24	1122241
2020-09-25	1128836
2020-09-26	1136048
2020-09-27	1143571
2020-09-28	1151438
2020-09-29	1159573
2020-09-30	1167805
2020-10-01	1176286
2020-10-02	1185231
2020-10-03	1194643
2020-10-04	1204502
2020-10-05	1215001
2020-10-06	1225889
2020-10-07	1237504
2020-10-08	1248619
2020-10-09	1260112
2020-10-10	1272238
2020-10-11	1285084
2020-10-12	1298718
2020-10-13	1312310
2020-10-14	1326178
2020-10-15	1340409
2020-10-16	1354163
2020-10-17	1369313
2020-10-18	1384235
2020-10-19	1399334
2020-10-20	1415316
2020-10-21	1431635
2020-10-22	1447335
2020-10-23	1463306
2020-10-24	1480646
2020-10-25	1497167
2020-10-26	1513877
2020-10-27	1531224
2020-10-28	1547774
2020-10-29	1563976
2020-10-30	1581693
2020-10-31	1599976
2020-11-01	1618116
2020-11-02	1636781
2020-11-03	1655038
2020-11-04	1673686
2020-11-05	1693454
2020-11-06	1712858
2020-11-07	1733440
