date	new_cases
2020-03-12	15
2020-03-13	5
2020-03-14	15
2020-03-15	14
2020-03-16	4
2020-03-17	30
2020-03-18	21
2020-03-19	33
2020-03-20	52
2020-03-21	54
2020-03-22	53
2020-03-23	61
2020-03-24	71
2020-03-25	57
2020-03-26	163
2020-03-27	182
2020-03-28	196
2020-03-29	228
2020-03-30	270
2020-03-31	302
2020-04-01	501
2020-04-02	440
2020-04-03	771
2020-04-04	601
2020-04-05	582
2020-04-06	658
2020-04-07	954
2020-04-08	1154
2020-04-09	1175
2020-04-10	1459
2020-04-11	1786
2020-04-12	1667
2020-04-13	2186
2020-04-14	2558
2020-04-15	2774
2020-04-16	3388
2020-04-17	3448
2020-04-18	4070
2020-04-19	4785
2020-04-20	6060
2020-04-21	4268
2020-04-22	5642
2020-04-23	5236
2020-04-24	4774
2020-04-25	5849
2020-04-26	5966
2020-04-27	6361
2020-04-28	6198
2020-04-29	6411
2020-04-30	5841
2020-05-01	7099
2020-05-02	7933
2020-05-03	9623
2020-05-04	10633
2020-05-05	10581
2020-05-06	10102
2020-05-07	10559
2020-05-08	11231
2020-05-09	10699
2020-05-10	10817
2020-05-11	11012
2020-05-12	11656
2020-05-13	10899
2020-05-14	10028
2020-05-15	9974
2020-05-16	10598
2020-05-17	9200
2020-05-18	9709
2020-05-19	8926
2020-05-20	9263
2020-05-21	8764
2020-05-22	8849
2020-05-23	8894
2020-05-24	9434
2020-05-25	8599
2020-05-26	8946
2020-05-27	8915
2020-05-28	8338
2020-05-29	8371
2020-05-30	8572
2020-05-31	8952
2020-06-01	9268
2020-06-02	9035
2020-06-03	8863
2020-06-04	8536
2020-06-05	8831
2020-06-06	8726
2020-06-07	8855
2020-06-08	8984
2020-06-09	8985
2020-06-10	8595
2020-06-11	8404
2020-06-12	8779
2020-06-13	8987
2020-06-14	8706
2020-06-15	8835
2020-06-16	8246
2020-06-17	8248
2020-06-18	7843
2020-06-19	7790
2020-06-20	7972
2020-06-21	7889
2020-06-22	7728
2020-06-23	7600
2020-06-24	7425
2020-06-25	7176
2020-06-26	7113
2020-06-27	6800
2020-06-28	6852
2020-06-29	6791
2020-06-30	6719
2020-07-01	6693
2020-07-02	6556
2020-07-03	6760
2020-07-04	6718
2020-07-05	6632
2020-07-06	6736
2020-07-07	6611
2020-07-08	6368
2020-07-09	6562
2020-07-10	6509
2020-07-11	6635
2020-07-12	6611
2020-07-13	6615
2020-07-14	6537
2020-07-15	6248
2020-07-16	6422
2020-07-17	6428
2020-07-18	6406
2020-07-19	6234
2020-07-20	6109
2020-07-21	5940
2020-07-22	5842
2020-07-23	5862
2020-07-24	5848
2020-07-25	5811
2020-07-26	5871
2020-07-27	5765
2020-07-28	5635
2020-07-29	5395
2020-07-30	5475
2020-07-31	5509
2020-08-01	5482
2020-08-02	5462
2020-08-03	5427
2020-08-04	5394
2020-08-05	5159
2020-08-06	5920
2020-08-07	4551
2020-08-08	5241
2020-08-09	5212
2020-08-10	5189
2020-08-11	5118
2020-08-12	4945
2020-08-13	5102
2020-08-14	5057
2020-08-15	5065
2020-08-16	5061
2020-08-17	4969
2020-08-18	4892
2020-08-19	4748
2020-08-20	4828
2020-08-21	4785
2020-08-22	4870
2020-08-23	4921
2020-08-24	4852
2020-08-25	4744
2020-08-26	4696
2020-08-27	4676
2020-08-28	4711
2020-08-29	4829
2020-08-30	4941
2020-08-31	4980
2020-09-01	4993
2020-09-02	4729
2020-09-03	4952
2020-09-04	4995
2020-09-05	5110
2020-09-06	5205
2020-09-07	5195
2020-09-08	5185
2020-09-09	5099
2020-09-10	5218
2020-09-11	5363
2020-09-12	5504
2020-09-13	5488
2020-09-14	5449
2020-09-15	5509
2020-09-16	5529
2020-09-17	5670
2020-09-18	5762
2020-09-19	5905
2020-09-20	6065
2020-09-21	6148
2020-09-22	6196
2020-09-23	6215
2020-09-24	6431
2020-09-25	6595
2020-09-26	7212
2020-09-27	7523
2020-09-28	7867
2020-09-29	8135
2020-09-30	8232
2020-10-01	8481
2020-10-02	8945
2020-10-03	9412
2020-10-04	9859
2020-10-05	10499
2020-10-06	10888
2020-10-07	11615
2020-10-08	11115
2020-10-09	11493
2020-10-10	12126
2020-10-11	12846
2020-10-12	13634
2020-10-13	13592
2020-10-14	13868
2020-10-15	14231
2020-10-16	13754
2020-10-17	15150
2020-10-18	14922
2020-10-19	15099
2020-10-20	15982
2020-10-21	16319
2020-10-22	15700
2020-10-23	15971
2020-10-24	17340
2020-10-25	16521
2020-10-26	16710
2020-10-27	17347
2020-10-28	16550
2020-10-29	16202
2020-10-30	17717
2020-10-31	18283
2020-11-01	18140
2020-11-02	18665
2020-11-03	18257
2020-11-04	18648
2020-11-05	19768
2020-11-06	19404
2020-11-07	20582
